_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
939185,4155180,2017.0,2020.0,1964.0,PRIVATE,5,York South-Weston,777 JANE ST,9,106,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,,W0539,43.6730591704,-79.4935959279,305300.77,4836789.64
939186,4153530,2017.0,2020.0,1960.0,PRIVATE,13,Toronto Centre,100 GLOUCESTER ST,11,212,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,,S1322,43.6680608437,-79.37977337609999,314480.036,4836241.251
939187,4152941,2017.0,2020.0,1958.0,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2020-11-19,72,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,,S0429,43.65971467560001,-79.4617878892,307866.434,4835307.806
939188,4155492,2017.0,2020.0,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2555 LAKE SHORE BLVD W,4,26,2020-11-19,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0336,43.609043237399995,-79.4898363283,305704.94399999996,4829683.294
939189,4153065,2017.0,2020.0,1897.0,SOCIAL HOUSING,4,Parkdale-High Park,10 LANSDOWNE AVE,3,21,2020-11-19,73,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,,,4.0,4.0,2.0,2.0,4.0,4.0,,3.0,,,S0435,43.6410463174,-79.4371700849,309853.582,4833234.996
939190,4155490,2017.0,2020.0,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2559 LAKE SHORE BLVD W,4,26,2020-11-19,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0336,43.6090936183,-79.48861615060001,305607.776,4829677.695
939191,4155489,2017.0,2020.0,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2020-11-19,80,Evaluation needs to be conducted in 2 years,14,4.0,4.0,5.0,4.0,,3.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026000001
939192,4152817,2017.0,2020.0,1963.0,PRIVATE,24,Scarborough-Guildwood,70 STEVENVALE DR,6,100,2020-11-19,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,E2430,43.758941388800004,-79.2213676768,327220.55600000004,4846368.19
939193,4154859,2017.0,2020.0,1964.0,PRIVATE,16,Don Valley East,22 TINDER CRES,4,60,2020-11-19,86,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,N1628,43.72645012979999,-79.3091895206,320157.292,4842738.692
939194,4152598,2017.0,2020.0,1968.0,PRIVATE,20,Scarborough Southwest,10 TEESDALE PL,24,285,2020-11-19,79,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,,E2028,43.6965267454,-79.2862044067,322017.663,4839418.771000001
939195,4154506,2017.0,2020.0,1956.0,PRIVATE,8,Eglinton-Lawrence,10 WASDALE CRES,3,10,2020-11-19,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.731194699300005,-79.4353275935,309994.519,4843250.185
939196,4152597,2017.0,2020.0,1970.0,PRIVATE,20,Scarborough Southwest,20 TEESDALE PL,24,284,2020-11-19,82,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,,E2028,43.6959726218,-79.2874840709,321914.674,4839356.947
939197,4155290,2017.0,2020.0,1958.0,PRIVATE,3,Etobicoke-Lakeshore,33 RIVERWOOD PKWY,4,50,2020-11-19,83,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.640211934499995,-79.4896809434,305616.916,4833140.562
939198,4155272,2017.0,2020.0,1955.0,PRIVATE,3,Etobicoke-Lakeshore,34 RIVERWOOD PKWY,4,35,2020-11-19,84,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.6397937003,-79.4903246449,305564.983,4833094.093
939199,4153656,2017.0,2020.0,1985.0,SOCIAL HOUSING,14,Toronto-Danforth,100 UNITY RD,6,98,2020-11-19,86,Evaluation needs to be conducted in 3 years,20,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,S1432,43.677802998900006,-79.3304925488,318452.018,4837330.443
939200,4153655,2017.0,2020.0,1983.0,SOCIAL HOUSING,14,Toronto-Danforth,110 UNITY RD,8,174,2020-11-19,90,Evaluation needs to be conducted in 3 years,20,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,S1432,43.6779324239,-79.3299297782,318497.365,4837344.914
939201,4155275,2017.0,2020.0,1960.0,PRIVATE,3,Etobicoke-Lakeshore,16 RIVERWOOD PKWY,5,45,2020-11-19,81,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,W0327,43.6390524323,-79.4890660176,305666.544,4833011.7530000005
939202,4155289,2017.0,2020.0,1958.0,PRIVATE,3,Etobicoke-Lakeshore,25 RIVERWOOD PKWY,4,50,2020-11-19,83,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.639857076400006,-79.48883782989999,305684.946,4833101.147
939203,4156583,2017.0,2020.0,1968.0,PRIVATE,2,Etobicoke Centre,60 CALLOWHILL DR,12,141,2020-11-19,74,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,,W0221,43.682156045,-79.5643051616,299650.165,4837805.9
939204,4154864,2017.0,2020.0,1955.0,PRIVATE,16,Don Valley East,2 BIGGIN CRT,4,77,2020-11-19,92,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,4.0,5.0,4.0,,5.0,4.0,,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,,N1628,43.72905505560001,-79.3049498934,320498.183,4843028.87
939205,4154867,2017.0,2020.0,1955.0,PRIVATE,16,Don Valley East,3 BIGGIN CRT,4,55,2020-11-19,91,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,N1628,43.7282648735,-79.3058539405,320425.555,4842940.919
939206,4154866,2017.0,2020.0,1955.0,PRIVATE,16,Don Valley East,5 BIGGIN CRT,4,65,2020-11-19,93,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,N1628,43.7279966031,-79.3068020912,320349.24,4842910.937
939207,4255639,2017.0,2020.0,1958.0,PRIVATE,6,York Centre,3892 BATHURST ST,4,29,2020-11-19,84,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,3.0,5.0,4.0,,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,N0629,43.7434082463,-79.4360131728,309938.25899999996,4844606.96
939208,4255640,2017.0,2020.0,1958.0,PRIVATE,6,York Centre,3894 BATHURST ST,4,29,2020-11-19,89,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,N0629,43.743702668100006,-79.43607830170001,309932.99,4844639.666999999
939209,4154591,2017.0,2020.0,1958.0,PRIVATE,6,York Centre,3896 BATHURST ST,4,30,2020-11-19,86,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,,N0629,43.7439610802,-79.4361472401,309927.417,4844668.373
939210,4155796,2017.0,2020.0,1976.0,PRIVATE,22,Scarborough-Agincourt,125 BONIS AVE,11,263,2020-11-19,89,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,E2229,43.78385662,-79.294501805,321346.372,4849113.023
939211,4152810,2017.0,2020.0,1969.0,PRIVATE,24,Scarborough-Guildwood,421 MARKHAM RD,12,159,2020-11-19,81,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2430,43.7506077851,-79.2210328403,327250.61699999997,4845442.448
939212,4152812,2017.0,2020.0,1995.0,SOCIAL HOUSING,24,Scarborough-Guildwood,525 MARKHAM RD,8,115,2020-11-19,81,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2430,43.756754208000004,-79.223973575,327027.68100000004,4846037.557
939213,4153016,2017.0,2020.0,1978.0,PRIVATE,4,Parkdale-High Park,22 MAYNARD AVE,3,36,2020-11-19,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,S0436,43.637780662299996,-79.4379497225,309790.94399999996,4832872.164
939214,4153685,2017.0,2020.0,1917.0,PRIVATE,19,Beaches-East York,97 LEE AVE,3,10,2020-11-19,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,4.0,,4.0,,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,,S1939,43.6711166025,-79.29799553229999,321074.04,4836593.47
939215,4152901,2017.0,2020.0,1957.0,PRIVATE,4,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2020-11-19,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,S0430,43.645605233000005,-79.473469677,306924.468,4833740.943
939216,4155494,2017.0,2020.0,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2020-11-19,76,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,4.0,3.0,3.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,W0336,43.609303546999996,-79.4892009672,305656.036,4829706.813
939217,4154037,2017.0,2020.0,1971.0,PRIVATE,19,Beaches-East York,7 CRESCENT PL,29,584,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,,S1930,43.695055073999995,-79.291784761,321568.003,4839255.097
939218,4284986,2017.0,2020.0,1971.0,PRIVATE,19,Beaches-East York,9 CRESCENT PL,29,587,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,,S1930,43.695648592,-79.291287219,321619.854,4839297.583000001
939219,4156314,2017.0,2020.0,1971.0,PRIVATE,19,Beaches-East York,11 CRESCENT PL,29,159,2020-11-19,70,Evaluation needs to be conducted in 2 years,18,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,,S1930,43.695136718,-79.290535808,321603.253,4839337.069
939220,4152585,2017.0,2020.0,1960.0,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2020-11-19,68,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,5.0,,,3.0,4.0,5.0,3.0,3.0,2.0,,4.0,3.0,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
939221,4156249,2017.0,2020.0,1960.0,PRIVATE,20,Scarborough Southwest,22 PELL ST,3,10,2020-11-19,69,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,4.0,,E2035,43.707978053999994,-79.248780872,325050.664,4840714.735
939222,4156048,2017.0,2020.0,1960.0,PRIVATE,20,Scarborough Southwest,24 PELL ST,3,11,2020-11-19,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,2.0,,4.0,3.0,,E2035,43.708100911,-79.248499263,325056.88300000003,4840728.7469999995
939223,4153657,2017.0,2020.0,1990.0,SOCIAL HOUSING,14,Toronto-Danforth,570 COXWELL AVE,3,11,2020-11-19,83,Evaluation needs to be conducted in 2 years,16,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,,,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,,S1432,43.679932553,-79.3224960568,319096.268,4837568.387
939224,4154079,2018.0,2020.0,1962.0,PRIVATE,19,Beaches-East York,327 CHISHOLM AVE,4,20,2020-11-19,78,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,S1926,43.6971816506,-79.30644386430001,320386.05199999997,4839487.593
939225,4288860,2017.0,2020.0,1958.0,PRIVATE,19,Beaches-East York,1981 DUNDAS ST E,3,12,2020-11-19,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,S1937,43.668927771999996,-79.315350573,319674.841,4836347.995
939226,4156720,2017.0,2020.0,1962.0,PRIVATE,2,Etobicoke Centre,327 DIXON RD,6,55,2020-11-19,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,2.0,4.0,,3.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,,W0222,43.694646278,-79.55506382899999,300345.581,4839190.371
939227,4154522,2017.0,2020.0,1956.0,PRIVATE,8,Eglinton-Lawrence,16 HOTSPUR RD,3,12,2020-11-19,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,N0823,43.73325697600001,-79.4341048887,310075.36199999996,4843467.916
939228,4154099,2017.0,2020.0,1955.0,PRIVATE,14,Toronto-Danforth,246 COSBURN AVE,6,40,2020-11-18,87,Evaluation needs to be conducted in 3 years,18,5.0,3.0,5.0,5.0,5.0,5.0,,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,,S1422,43.6908769732,-79.3430214512,317439.08,4838780.927
939229,4269230,2017.0,2020.0,1959.0,PRIVATE,20,Scarborough Southwest,508 DANFORTH RD,3,24,2020-11-18,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,3.0,4.0,4.0,,5.0,,,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,,E2030,43.7092676432,-79.2670048703,323561.223,4840838.393
939230,4152582,2017.0,2020.0,1960.0,PRIVATE,20,Scarborough Southwest,4 FOLCROFT AVE,3,13,2020-11-18,68,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,2.0,4.0,,3.0,,2.0,3.0,3.0,5.0,4.0,3.0,4.0,,4.0,4.0,,E2035,43.701030915,-79.25119809,324814.217,4839929.968
939231,4285401,2018.0,2020.0,1952.0,PRIVATE,20,Scarborough Southwest,6 FOLCROFT AVE,3,13,2020-11-18,71,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,4.0,3.0,3.0,,3.0,,3.0,3.0,3.0,5.0,4.0,3.0,4.0,,4.0,4.0,,E2035,43.700957687,-79.251492552,324829.314,4839934.355
939232,4155366,2017.0,2020.0,1968.0,PRIVATE,2,Etobicoke Centre,311 DIXON RD,16,178,2020-11-18,69,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,,W0222,43.6952084517,-79.5537109023,300454.932,4839251.808
939233,4153525,2017.0,2020.0,1929.0,PRIVATE,13,Toronto Centre,40 EARL ST,5,39,2020-11-18,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,3.0,4.0,4.0,,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,S1322,43.66881613939999,-79.3759529086,314788.01399999997,4836325.598
939234,4153524,2017.0,2020.0,1993.0,SOCIAL HOUSING,13,Toronto Centre,50 EARL ST,4,22,2020-11-18,84,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,5.0,4.0,4.0,,4.0,5.0,,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,4.0,S1322,43.6688638916,-79.3757306133,314805.933,4836330.929
939235,4156225,2017.0,2020.0,1950.0,PRIVATE,2,Etobicoke Centre,4754 DUNDAS ST W,4,14,2020-11-18,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,5.0,4.0,,3.0,4.0,,W0229,43.652203577,-79.525983776,302683.101,4834465.154
939236,4153577,2017.0,2020.0,1992.0,SOCIAL HOUSING,14,Toronto-Danforth,179 BROADVIEW AVE,4,41,2020-11-18,87,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,,S1434,43.661102106499996,-79.3502357937,316863.476,4835472.037
939237,4154803,2017.0,2020.0,1965.0,PRIVATE,16,Don Valley East,135 FENELON DR,19,218,2020-11-18,84,Evaluation needs to be conducted in 2 years,19,3.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,,N1621,43.7628388267,-79.337948675,317832.429,4846776.338
939238,4155031,2021.0,2020.0,1960.0,PRIVATE,12,Toronto-St. Paul's,1801 EGLINTON AVE W,3,41,2020-11-18,71,Evaluation needs to be conducted in 2 years,17,4.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,3.0,,S1222,43.695756472,-79.449018677,308893.65,4839313.352
939239,4153660,2017.0,2020.0,1930.0,PRIVATE,14,Toronto-Danforth,5 DONLANDS AVE,4,24,2020-11-18,77,Evaluation needs to be conducted in 2 years,14,5.0,3.0,5.0,3.0,5.0,5.0,,4.0,,,3.0,4.0,3.0,3.0,3.0,5.0,,3.0,,,S1427,43.6807286698,-79.3371951618,317910.956,4837654.388
939240,4154073,2017.0,2020.0,1968.0,PRIVATE,19,Beaches-East York,114 BARRINGTON AVE,3,12,2020-11-18,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,,,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,,S1930,43.692368796000004,-79.302666418,320691.542,4838954.561000001
939241,4154593,2017.0,2020.0,1958.0,PRIVATE,6,York Centre,3888 BATHURST ST,3,31,2020-11-18,84,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,N0629,43.7428392461,-79.4358673585,309950.049,4844543.7530000005
939242,4154592,2017.0,2020.0,1958.0,PRIVATE,6,York Centre,3890 BATHURST ST,4,30,2020-11-18,84,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,3.0,5.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,,N0629,43.7431564667,-79.4359561971,309942.868,4844578.99
939243,4154064,2017.0,2020.0,1950.0,PRIVATE,19,Beaches-East York,1001 O'CONNOR DR,4,83,2020-11-18,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,3.0,4.0,4.0,,4.0,,4.0,3.0,4.0,4.0,3.0,4.0,3.0,,4.0,3.0,,S1924,43.7097238899,-79.30919265920001,320161.322,4840880.499
939244,4167764,2017.0,2020.0,1969.0,PRIVATE,20,Scarborough Southwest,544 BIRCHMOUNT RD,11,131,2020-11-18,79,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,,E2029,43.711075654,-79.270595187,323271.08,4841039.404
939245,4154500,2017.0,2020.0,1960.0,PRIVATE,8,Eglinton-Lawrence,93 NEPTUNE DR,3,10,2020-11-18,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.7316875988,-79.43837313590001,309749.131,4843304.7530000005
939246,4152809,2017.0,2020.0,1970.0,PRIVATE,24,Scarborough-Guildwood,419 MARKHAM RD,12,160,2020-11-18,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,E2430,43.750117696000004,-79.220863337,327264.45,4845388.046
939247,4155447,2018.0,2020.0,1965.0,PRIVATE,1,Etobicoke North,2435 KIPLING AVE,13,153,2020-11-18,70,Evaluation needs to be conducted in 2 years,18,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0124,43.7388442337,-79.578720865,298443.619,4844101.085
939248,4155509,2017.0,2020.0,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2704 LAKE SHORE BLVD W,4,30,2020-11-18,76,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,3.0,,3.0,,3.0,4.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0335,43.6028754682,-79.4965836376,305060.126,4828992.645
939249,4155517,2017.0,2020.0,1980.0,TCHC,3,Etobicoke-Lakeshore,2835 LAKE SHORE BLVD W,9,148,2020-11-18,79,Evaluation needs to be conducted in 2 years,19,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,W0335,43.6013719933,-79.50153664300001,304660.286,4828825.602
939250,4155503,2017.0,2020.0,1950.0,PRIVATE,3,Etobicoke-Lakeshore,2515 LAKE SHORE BLVD W,4,30,2020-11-18,72,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,3.0,,W0336,43.6115410495,-79.489468582,305634.407,4829955.385
939251,4155501,2017.0,2020.0,1970.0,PRIVATE,3,Etobicoke-Lakeshore,2519 LAKE SHORE BLVD W,4,44,2020-11-18,68,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,,W0336,43.610690629,-79.48977037,305628.08,4829849.455
939252,4155488,2017.0,2020.0,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2020-11-18,77,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,W0336,43.6109821847,-79.4903809388,305560.767,4829893.29
939253,4154964,2017.0,2020.0,1929.0,PRIVATE,12,Toronto-St. Paul's,118 VAUGHAN RD,4,32,2020-11-18,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,3.0,,S1229,43.684225142200006,-79.4217235507,311095.282,4838032.994
939254,4154509,2017.0,2020.0,1956.0,PRIVATE,8,Eglinton-Lawrence,30 WASDALE CRES,3,10,2020-11-18,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.7308801884,-79.4368395679,309872.74199999997,4843215.149
939255,4154511,2017.0,2020.0,1965.0,PRIVATE,8,Eglinton-Lawrence,34 WASDALE CRES,3,11,2020-11-18,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,1.0,4.0,3.0,4.0,,4.0,,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,,N0823,43.730776631400005,-79.4372931994,309836.206,4843203.617
